"","CardNames","DeckCount","WinrateAverage"
"1","Worship",2,100
"2","Shock",2,100
"3","Cast Down",2,100
"4","Mesmeric Orb",2,100
"5","Experimental Frenzy",1,100
"6","Burst Lightning",1,100
"7","Chandra's Defeat",1,100
"8","Magma Spray",1,100
"9","Grinding Station",1,100
"10","Apostle's Blessing",1,100
"11","Thorn of Amethyst",1,100
"12","Tidehollow Sculler",1,100
"13","Bloodbraid Elf",1,100
"14","Valki, God of Lies",1,100
"15","Dance of the Manse",1,100
"16","Scarscale Ritual",1,100
"17","Cloudform",1,100
"18","Chained to the Rocks",1,100
"19","Thrun, the Last Troll",1,100
"20","Conflagrate",1,100
"21","Cinderclasm",1,100
"22","Crash Through",1,100
"23","Ad Nauseam",1,100
"24","Lightning Greaves",1,100
"25","Sword of Light and Shadow",1,100
"26","Esper Charm",1,100
"27","Tend the Pests",1,100
"28","Sin Collector",1,100
"29","Voice of Resurgence",1,100
"30","Ashen Rider",1,100
"31","Stoneforge Mystic",1,100
"32","Sudden Edict",1,100
"33","Inquisition of Kozilek",1,100
"34","Serra's Emissary",1,100
"35","Culling Ritual",1,100
"36","Tome Scour",1,100
"37","Aeve, Progenitor Ooze",1,100
"38","Pyromancer Ascension",1,100
"39","Terastodon",1,100
"40","Savage Swipe",1,100
"41","Thalia, Guardian of Thraben",1,100
"42","Cursed Totem",4,93.8
"43","Mana Tithe",3,91.7
"44","Jeskai Ascendancy",3,91.7
"45","Flesh // Blood",3,91.7
"46","Expressive Iteration",3,91.7
"47","Sanctum Prelate",3,91.7
"48","Flame Blitz",3,91.7
"49","Void Winnower",5,90
"50","Expedition Map",5,90
