"","PLAYERS","NO_APPEARANCES","ARCHETYPE_NAMES","ARCHETYPE_COUNT","URL"
"1","Sodeq",14,"Dredge; Ad Nauseam; Oops All Spells; Belcher","9; 3; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-03-29#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-19#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#sodeq_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-06#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-08-09#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#sodeq_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-11-08#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#sodeq_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-07#sodeq_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-13#sodeq_th_place"
"2","Laplasjan",12,"Eldrazi Tron; Gruul Midrange; Devoted; Hammer Time","1; 1; 9; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-15#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-05#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-27#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-03#laplasjan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-11#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-06-02#laplasjan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-14#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-10#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#laplasjan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#laplasjan_th_place"
"3","musasabi",9,"Jund Midrange; Smallpox; Hardened Scales; Amulet Titan; Reclaimer Titan; Orzhov Midrange","1; 1; 1; 1; 4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#musasabi_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-07-12#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-14#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#musasabi_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#musasabi_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#musasabi_th_place"
"4","McWinSauce",9,"Stoneblade; Bant Control; UBRG Control; WURG Control","3; 1; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#mcwinsauce_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-03-09#mcwinsauce_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#mcwinsauce_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#mcwinsauce_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-23#mcwinsauce_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#mcwinsauce_th_place"
"5","TSPJendrek",9,"Stoneblade; UBRG Control; Sultai Control; Jeskai Control","2; 1; 5; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-16#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-08#tspjendrek_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-14#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-05#tspjendrek_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-17#tspjendrek_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-06#tspjendrek_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-11#tspjendrek_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-26#tspjendrek_th_place"
"6","Do0mSwitch",7,"Bant Control; WURG Control","5; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#domswitch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-03-09#domswitch_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-12#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#domswitch_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#domswitch_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-05#domswitch_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#domswitch_nd_place"
"7","ZYURYO",7,"Azorius Control; Bant Control; WUBG Control; Jund Midrange; WURG Control","1; 2; 1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#zyuryo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-23#zyuryo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-08#zyuryo_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-05#zyuryo_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-06#zyuryo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-13#zyuryo_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#zyuryo_nd_place"
"8","Lavaridge",7,"UBRG Control; Sultai Control; Reclamation","1; 3; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-18#lavaridge_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-29#lavaridge_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-06#lavaridge_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-13#lavaridge_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-07-20#lavaridge_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-07-27#lavaridge_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-08-09#lavaridge_st_place"
"9","Toastxp",6,"Urza Oko; Uroza; Rakdos Prowess; Jund Prowess; Jund Shadow","1; 1; 1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champs-2020-01-05#toastxp_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-12#toastxp_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-25#toastxp_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-26#toastxp_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-31#toastxp_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-19#toastxp_st_place"
"10","SebastianStueckl",6,"Humans; Jund Midrange; Gruul Midrange; Dredge; Goblins","1; 1; 1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-02#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#sebastianstueckl_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-06-07#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-15#sebastianstueckl_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-28#sebastianstueckl_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-26#sebastianstueckl_th_place"
"11","Traft",6,"Humans; Goblins; Ad Nauseam; Rogues","1; 1; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-29#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-12#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-01#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-06-02#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-19#traft_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-28#traft_th_place"
