"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Baleful Mastery",2,2,10,14,0.916110681692872,29,96.3," 1 Mill 
  1 Mill 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-19#blitzlion_th_place 
  https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-19#blitzlion_th_place 
","Chris Cold","B",4,"Instant","STX",0,0.4,1
"Clever Lumimancer",88,22,121,174,69.5,62.1,76.3," 21 Boros Prowess 
 1 Jeskai Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#frakom_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#unagieel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#dmwake_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-19#_tia__nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#christiano_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#sharkcaster_mage_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#frakom_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#cvxw_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#brasatore_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#christiano_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#pbarrrgh_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#mac_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#jositoshekel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#oosunq_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#christiano_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#mac_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#mrichi_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#revenantkioku_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#darthkid_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#pepeapple_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#pacoelflaco_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#nikko_th_place 
","Lie Setiawan","W",1,"Creature","STX",0.3,5.3,4
"Deadly Brew",2,1,6,9,66.7,29.9,92.5," 1 Smallpox 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#amplumnox_th_place 
","Randy Vargas","B,G",2,"Sorcery","STX",0,0.2,2
"Elite Spellbinder",23,7,47,62,0.857813964151982,62.9,88.8," 4 Orzhov Blink 
 1 Orzhov Taxes 
  1 Heliod Combo 
 1 Orzhov Taxes 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-19#kiko_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#friskifraska_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#parrotlet_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#miguelcaster_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#miguelcaster_th_place 
  https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-19#kiko_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#azax_th_place 
","Ryan Pancoast","W",3,"Creature","STX",0.2,1.7,3.48695652173913
"Emergent Sequence",3,1,5,8,62.5,24.5,91.5," 1 Titan Shift 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#alphafrog_rd_place 
","Andreas Zafiratos","G",2,"Sorcery","STX",0,0.2,3
"Expressive Iteration",153,42,238,332,71.7,66.5,76.5," 2 Grixis Shadow 
 40 Izzet Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#darthkid_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#kthanakit_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#mariogomes_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#oinkmage_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#fastfake_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#starfall_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#forthosewhohaveheart_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#bmac_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#maikage_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#twistedwombat_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#starfall_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#dignika_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#_stream_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#dmwake_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#lilianaofthevess_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#e_kaminuma_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#alphafrog_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#rastaf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#astralplane_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#nublkau_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#xwhale_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#_batutinha__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#phill_hellmuth_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#zecarlonxo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#chilledaded_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#ptartswin_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#astralplane_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#shadow_pt_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#azax_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#pedrogush_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#lilianaofthevess_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#lukas_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#nahuel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#rhetoryx_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#thommimp_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#dmwake_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#gobo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#superdan__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#justodeangelo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#antarctica_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#shadow_pt_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#weishengzhishabi_st_place 
","Anastasia Ovchinnikova","R,U",2,"Sorcery","STX",0.6,10.1,3.6
"Field Trip",14,4,20,29,69,49.2,84.7," 4 Amulet Titan 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#biednarccio_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#kingcantona_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#donald_trump_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#biednarccio_nd_place 
","Piotr Dura","G",3,"Sorcery","STX",0.1,1,3.5
"Leonin Lightscribe",26,11,56,83,67.5,56.3,77.4," 10 Boros Prowess 
 1 Jeskai Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#unagieel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#sharkcaster_mage_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#frakom_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#cvxw_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-26#brasatore_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#pbarrrgh_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#oosunq_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#mrichi_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#revenantkioku_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#darthkid_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#nikko_th_place 
","Steven Belledin","W",2,"Creature","STX",0.1,2.6,2.4
"Magma Opus",1,1,5,8,62.5,24.5,91.5," 1 Temur Breach 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#stturnnegator_th_place 
","Liiga Smilshkalne","R,U",8,"Instant","STX",0,0.2,1
"Prismari Command",87,33,183,258,0.76395628045628,64.3,76.2," 7 Izzet Breach 
 4 Jeskai Control 
 8 Niv To Light 
 1 Omnath Saheeli 
 2 Polymorph 
 1 Pyro Ascension 
 4 Taking Turns 
 4 Temur Breach 
  2 Izzet Prowess 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#tiko_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#tiemuuu_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-18#stturnnegator_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-04-25#bnlunt_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#freakunasty_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#bnlunt_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#tiemuuu_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#twinlesstwin_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-02#yumad_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#stturnnegator_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-03#manacymbal_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#didoguidotti_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#gazmon_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-09#stturnnegator_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#benbot_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#didoguidotti_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#caleb_yetman_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-10#bnlunt_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#balltap_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#hiyarako_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#otakkun_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-15#lavaridge_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#yamakiller_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#spiderspace_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-16#flshtph_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#draccon_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#bigbn_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#martinezdp_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#manacymbal_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#stturnnegator_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2021-05-17#didoguidotti_th_place 
  https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2021-05-04#lilianaofthevess_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-05-17#lilianaofthevess_th_place 
","Johannes Voss","R,U",3,"Instant","STX",0.3,8,2.65862068965517
