"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Boseiju, Who Endures",96,61,309,419,73.7,69.3,77.9," 16 Amulet Titan 
 1 Blue Living End 
 1 Bogles 
 2 Calibrated Blast 
 5 Creativity Combo 
 5 Elementals 
 1 Enigmatic Incarnation 
 1 Glimpse Combo 
 1 Green Tron 
 6 Jund Saga 
 1 Neobrand 
 16 Omnath Control 
 5 Omnath Scapeshift 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#dimitriqed_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#zeekery_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#moniz_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#cftsoc_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#xl_snapcaster_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#puntthenwhine_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#graciasportanto_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#bobthedog_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#thafurn_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#bobthedog_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#apriolo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#graciasportanto_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#thebigmoke_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#dimitriqed_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#walaoumpa_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#heiring_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#marcusmpv_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#coert_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#yriel_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#rosencrantz__nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#respectthecat_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#artilleryfrost_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#iaashadow_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#azor_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#il_tedesco_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#xenowan_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#binolino_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#latke_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#leclairandy_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#patheus__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#boomraang_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#varo_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#zeekery_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#thewatchwander_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#azor_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#gurig_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-05-31#into_play_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-04#into_play_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-07#magicofplayer_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-07#into_play_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-09#bugiardo_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-10#thafurn_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-10#dimitriqed_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#respectthecat_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#abenacci_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#albertosd_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#oracle_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#ld_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#ingos_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#azax_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#scalo_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#oracle_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#gurig_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#lizardduke_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#elhappi_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#inickstrad_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#dormitian_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-23#cookiekid_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-25#thebigmoke_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-25#clockzombie_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-25#dimitriqed_- 
","Chris Ostrowski","",0,"Land","NEO",1.5,13.9,1.6
"Hidetsugu Consumes All",10,5,20,31,64.5,45.4,80.8," 1 Domain Zoo 
 1 Jund Midrange 
 2 Rakdos Midrange 
 1 Reanimator 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#l_herne_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#l_herne_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#mazuku_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#magic_rainbows_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#riverofice_- 
","Chris Cold","B,R",3,"Enchantment","NEO",0.2,1.1,2
"Kaito Shizuki",9,9,51,69,73.9,61.9,83.7," 1 Creativity Combo 
 1 Grixis Monkey 
 7 Grixis Shadow 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#soulstrong_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#soulstrong_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#shadowz_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#kanister_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#sanpop_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#marine_rush_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#thefan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#mariobbrega_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-22#jenara_- 
","Yongjae Choi","B,U",3,"Planeswalker","NEO",0.1,2.1,1
"Lion Sash",1,1,4,5,80,28.4,99.5," 1 Hammer Time 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#wyern_- 
","Yongjae Choi","W",2,"Artifact,Creature","NEO",0,0.2,1
"March of Otherworldly Light",70,35,166,227,73.1,66.9,78.8," 34 Hammer Time 
 1 Jeskai Control 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#karatedom_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#happysandwich_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#happysandwich_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#booomerang_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#laplasjan_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#happysandwich_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#_against__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2022-06-12#laplasjan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#crusherbotbg_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#laplasjan_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-13#nicknorman_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#happysandwich_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#dasneakypete_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#codyf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#crusherbotbg_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#ddmeelow_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-26#kummins_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#happysandwich_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#liubloodelf_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-02#crusherbotbg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-03#crusherbotbg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-07#jammernaut_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-11#mariogomes_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#colesmith_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#crusherbotbg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#friskifraska_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#laplasjan_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#ilife_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#fink_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#ragingmachismo_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#colletclow_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-24#crusherbotbg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-24#bladeofice_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-25#bladeofice_- 
","Nils Hamm","W",1,"Instant","NEO",1.1,8,2
"March of Reckless Joy",2,1,3,5,60,14.7,94.7," 1 Belcher 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#kinjello_- 
","Fiona Hsieh","R",1,"Instant","NEO",0,0.2,2
"Otawara, Soaring City",2,2,13,18,72.2,46.5,90.3," 2 Calibrated Blast 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-05#zeekery_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#zeekery_th_place 
","Alayna Danner","",0,"Land","NEO",0,0.5,1
"Tamiyo's Safekeeping",2,1,4,7,57.1,18.4,90.1," 1 Hardened Scales 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#snickersaut_th_place 
","Aurore Folny","G",1,"Instant","NEO",0,0.2,2
"The Reality Chip",2,2,9,12,75,42.8,94.5," 1 Hammer Time 
 1 Mill 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-06#tibalt_of_red_sub_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-18#wyern_- 
","Campbell White","U",2,"Artifact,Creature","NEO",0,0.5,1
"Twinshot Sniper",13,4,16,24,66.7,44.7,84.4," 4 Glimpse Combo 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-20#xenowan_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2022-06-27#makia_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-19#sin_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2022-06-20#trakeoto_- 
","Brent Hollowell","R",4,"Artifact,Creature","NEO",0.2,0.9,3.2
