"","CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"1","Abrade",21,16,55,66,83.3,72.1,91.4," 5 Boros Bully / Flashback 
 4 Ephemerate   Tron 
 3 Izzet Faeries 
 2 Jund Ramp 
 1 Mono   Blue 
 1 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-01-15#white_tsar_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#cicciogire_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#a_adeptoterra_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#darkiundsa_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#phill_hellmuth_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#notgood_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#zonast_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-21#ecobaronen_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-21#a_adeptoterra_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#cicciogire_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#lennny_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#diemx_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#nathansteuer_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#olavojusmtm_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#lennny_th_place 
","Jonas De Ro","R",2,"Instant","HOU",0.6,25.4,1.3
"2","Abundant Growth",16,4,13,16,81.2,54.4,96," 3 Bogles 
 1 Naya Slivers 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-07#acg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#slasher_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#danielnunes_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#aegisaziz_th_place 
","Vincent Proce","G",1,"Enchantment","AVR",0.4,6.3,4
"3","Ancestral Mask",12,3,10,12,83.3,51.6,97.9," 3 Bogles 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-07#acg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#slasher_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#aegisaziz_th_place 
","Massimilano Frezzato","G",3,"Enchantment","MMQ",0.3,4.8,4
"4","Ancient Den",4,1,3,4,75,19.4,99.4," 1 Atog   Affinity 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-08-20#tsubasa_cat_- 
","Rob Alexander","",0,"Artifact,Land","MRD",0.1,1.6,4
"5","Annoyed Altisaur",20,6,20,24,83.3,62.6,95.3," 2 Gruul Ramp 
 2 Jund Ramp 
 2 Walls   Cascade 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-01-15#sknerusmckwacz_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#albertosd_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#darkiundsa_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#houseofmanamtg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#jositoshekel_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#cicciogire_- 
","Lars Grant-West","G",7,"Creature","CMR",0.5,9.5,3.3
"6","Arbor Elf",8,2,7,8,87.5,47.3,99.7," 2 Gruul Ramp 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#albertosd_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#jositoshekel_- 
","rk post","G",1,"Creature","WWK",0.2,3.2,4
"7","Archaeomancer",27,9,29,38,76.3,59.8,88.6," 7 Azorius Familiars 
 1 Jeskai Ephemerate 
 1 Jeskai Familiars 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-01-15#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-08-20#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#houseofmanamtg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#stainerson_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#beenew_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#kampo_th_place 
","Zoltan Boros","U",4,"Creature","M13",0.7,14.3,3
"8","Arctic Treeline",4,2,6,8,75,34.9,96.8," 2 Bogles 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#slasher_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#aegisaziz_th_place 
","Alayna Danner","",0,"Land","KHM",0.1,3.2,2
"9","Armadillo Cloak",12,3,10,12,83.3,51.6,97.9," 3 Bogles 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-07#acg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#slasher_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#aegisaziz_th_place 
","Paolo Parente","G,W",3,"Enchantment","INV",0.3,4.8,4
"10","Ash Barrens",81,29,97,121,80.2,71.9,86.9," 7 Azorius Familiars 
 3 Bogles 
 5 Boros Bully / Flashback 
 1 Dimir Faeries 
 4 Izzet Faeries 
 1 Jeskai Familiars 
 2 Jund Ramp 
 1 Mono   Blue 
 1 Naya Slivers 
 2 Orzhov Pestilence 
 2 Unknown 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-01-15#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#cicciogire_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-03-10#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-07#acg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-07#notgood_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#darkiundsa_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-14#zonast_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-21#ecobaronen_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-04-28#cicciogire_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-08-20#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#lennny_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#o_danielakos_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#thalai_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#houseofmanamtg_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#saidinraken_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#slasher_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#nathansteuer_st_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#stainerson_nd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#olavojusmtm_rd_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#ecobaronen_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#_dissonance__th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#danielnunes_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#lennny_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#barff_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#kampo_th_place 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#aegisaziz_th_place 
","Jonas De Ro","",0,"Land","C16",2.1,46,2.8
"11","Atog",24,6,20,25,80,59.3,93.2," 6 Atog   Affinity 
"," https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-08-20#boucha_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-08-20#tsubasa_cat_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-09-03#turnnissa_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-15#rexjak_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-22#peanutbrittle_- 
 https://magic.wizards.com/en/articles/archive/mtgo-standings/pauper-preliminary-2021-12-27#backoff_th_place 
","Jesper Myrfors","R",2,"Creature","ATQ",0.6,9.5,4
