"CardNames","CardCount","DeckCount","WinCount","MatchCount","WinrateAverage","Winrate95Min","Winrate95Max","Archetypes","URL","Artists","Colors","CMC","Types","FirstSet","CardCountOutTotalCards","DeckCountOutTotalDecks","AverageCopies"
"Arcane Proxy",2,1,5,7,71.4,29,96.3," 1 WUBR Delver 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-2512504238#deck_unluckymonkey 
","Kekai Kotaki","",7,"Artifact,Creature","BRO",0,0.2,2
"Argoth, Sanctum of Nature",1,1,5,7,71.4,29,96.3," 1 Selesnya Depths 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-2512504238#deck_musasabi 
","Cristi Balanescu","",0,"Land","BRO",0,0.2,1
"Brotherhood's End",1,1,3,4,75,19.4,99.4," 1 Sneak & Show 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2022-12-1612502860#deck_RYO410 
","Bryan Sola","R",3,"Sorcery","BRO",0,0.2,1
"Forging the Anchor",1,1,4,6,66.7,22.3,95.7," 1 8-cast 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-1012501257#deck_Cherryxman 
","Liiga Smilshkalne","U",3,"Sorcery","BRO",0,0.2,1
"Haywire Mite",4,4,19,29,65.5,45.7,82.1," 1 8-cast 
 1 Esper Painter 
 2 Punishing Maverick 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-2412504227#deck_Cle0h 
 https://www.mtgo.com/en/mtgo/decklist/legacy-super-qualifier-2022-12-2912504199#deck_Harry1232 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-3112504287#deck_Harry1232 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_XanaZero 
","Izzy","",1,"Artifact,Creature","BRO",0,0.8,1
"Loran of the Third Path",6,6,23,38,60.5,43.4,76," 5 Death & Taxes 
 1 Orzhov Human 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-1812502880#deck_derflotteschotte87 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-3112504287#deck_yoshiwata 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-3112504287#deck_scalo94 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_yoshiwata 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_tsptsp 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-1012508264#deck_THE0NEWH0KN0X 
","Steven Belledin","W",3,"Creature","BRO",0,1.3,1
"Mishra's Research Desk",1,1,5,7,71.4,29,96.3," 1 Esper Painter 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_XanaZero 
","Matt Stewart","",1,"Artifact","BRO",0,0.2,1
"Phyrexian Dragon Engine",20,20,96,134,71.6,63.2,79.1," 1 Boros Painter 
 19 Mono Red Painter 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-1012501257#deck_Julian23 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-1012501257#deck_kanican 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-1112501267#deck_Julian23 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-1112501267#deck_TheWitchKling 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-1712502869#deck_Julian23 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-1712502869#deck_Oxdizzle 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-1812502880#deck_non_basic_land 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2022-12-1812502880#deck_utley26 
 https://www.mtgo.com/en/mtgo/decklist/legacy-super-qualifier-2022-12-2912504199#deck_Falkoneye 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-3112504287#deck_zrifts 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2022-12-3112504287#deck_kanican 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0112504298#deck_LordEgg 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0112504298#deck_Julian23 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_Oxdizzle 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0812508244#deck_LordEgg 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2022-12-1912502889#deck_noodle_boi 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2022-12-2012502900#deck_noodle_boi 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-0312504318#deck_UrzaEnjoyer 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-0612508226#deck_noodle_boi 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-1312509944#deck_Oxdizzle 
","Chris Rahn","",3,"Artifact,Creature","BRO",0.1,4.2,1
"The Mightstone and Weakstone",5,5,29,36,80.6,64,91.8," 5 Mono Red Painter 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-super-qualifier-2022-12-2912504199#deck_Delthar 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-2023-01-0112504298#deck_Delthar 
 https://www.mtgo.com/en/mtgo/decklist/legacy-challenge-32-2023-01-0712508235#deck_burrarun 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-0312504318#deck_UrzaEnjoyer 
 https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-1312509944#deck_Oxdizzle 
","Ryan Pancoast","",5,"Artifact","BRO",0,1.1,1
"The Stone Brain",2,1,3,4,75,19.4,99.4," 1 Selesnya Post 
"," https://www.mtgo.com/en/mtgo/decklist/legacy-preliminary-2023-01-0212504307#deck_findago 
","Irina Nordsol","",2,"Artifact","BRO",0,0.2,2
