"","PlayerS","NAppearances","TotalMatches","WinrateAverage","Winrate95Min","Winrate95Max","TotalPoints","ArchetypeNames","ArchetypeCounts","URL"
"1","kanister",28,112,0.8125,0.72778087018859,0.880026190941075,273,"Dimir Control; Reclamation; Humans; 5 Color Turbo Tibalt; Amulet Titan; Living End; Heliod Combo; Grinding Breach; BTL Scapeshift; Izzet Prowess; Asmo Food; Izzet Murktide; Elementals; Jund Saga; WURG Blink; Azorius Control","2; 1; 1; 1; 5; 1; 3; 1; 1; 1; 2; 2; 2; 1; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-16#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-19#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-23#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-30#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-13#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-02#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-30#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-20#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-21#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-24#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-28#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-05#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-22#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-01#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-02#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-08#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-09#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-16#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-26#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-03#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-07#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-24#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-18#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-25#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-06#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-20#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-23#kanister_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-27#kanister_-"
"2","HouseOfManaMTG",22,88,0.818181818181818,0.721598031175721,0.892351554921894,216,"Amulet Titan; Dredge; Reclaimer Titan; Temur Footfalls; Mill; WURG Control","17; 1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-21#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-10#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-27#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-30#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-01#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-09#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-08#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-22#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-03#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-10#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-11#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-12#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-01#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-02#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-10#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-29#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-16#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-16#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-03#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-25#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-30#houseofmanamtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-04#houseofmanamtg_-"
"3","McWinSauce",20,80,0.8,0.695631132994536,0.881140913595015,192,"5 Color Turbo Tibalt; WURG Control; Sultai Control; Burn; Reclamation; Jeskai Monkey; Stoneblade; Izzet Murktide; WUBR Monkey; Jund Saga; Azorius Control; WURG Blink","3; 4; 1; 1; 2; 1; 1; 1; 1; 1; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-09#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-11#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-12#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-20#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-26#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-25#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-10#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-12#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-17#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-22#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-06#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-22#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-03#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-31#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-01#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-23#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-11#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-16#mcwinsauce_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-25#mcwinsauce_-"
"4","Xwhale",19,76,0.776315789473684,0.666195490906115,0.863963600121075,177,"Reclaimer Titan; Eldrazi Tron; Heliod Combo; Jund Shadow; Esper Control; BTL Scapeshift; Humans; Izzet Prowess; Asmo Urza; Hammer Time; Grixis Monkey; Izzet Murktide; Reanimator","1; 2; 1; 1; 1; 1; 1; 1; 1; 6; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-14#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-19#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-25#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-16#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-17#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-22#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-08#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-15#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-22#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-08#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-15#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-17#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-31#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-11#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-02#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-09#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-21#xwhale_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-18#xwhale_-"
"5","triosk",17,68,0.823529411764706,0.712027161559283,0.905349985754752,168,"Hammer Time; BTL Scapeshift; Azorius Control; Jeskai Control; Jund Saga; Temur Footfalls","3; 5; 4; 3; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-02#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-10#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-30#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-07#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-14#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-18#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-20#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-27#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-07#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-14#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-15#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-25#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-28#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-12#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-16#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-19#triosk_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-20#triosk_-"
"6","xfile",17,68,0.794117647058823,0.678762132056963,0.882620054121481,162,"Burn; Izzet Murktide; Azorius Control; Jund Saga; Reclamation; Temur Control; Grixis Saga; WURG Blink; Mill; WURG Control","5; 1; 2; 1; 1; 1; 1; 1; 1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-23#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-26#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-04#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-05#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-21#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-25#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-30#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-06#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-12#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-20#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-28#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-02#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-11#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-23#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-24#xfile_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-25#xfile_-"
"7","Icteridae",16,64,0.84375,0.731365755733743,0.922442668199877,162,"Gruul Midrange; Eldrazi Tron; Devoted Combo; Green Tron; Temur Footfalls; Reanimator","6; 2; 2; 2; 1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-25#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-08#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-27#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-29#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-06#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-11#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-03#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-24#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-22#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-29#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-12#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-17#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-30#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-11#icteridae_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-02#icteridae_-"
"8","CrusherBotBG",16,65,0.784615384615385,0.665112685452448,0.87694692475782,153,"Hammer Time","16","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-14#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-23#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-30#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-07#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-08#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-09#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-14#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-23#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-14#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-15#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-21#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-07#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-24#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-23#crusherbotbg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-27#crusherbotbg_-"
"9","Gerardo94",16,65,0.769230769230769,0.648103343725778,0.864706286809375,150,"WURG Control; WURG Footfalls; Stoneblade; Izzet Murktide; Grixis Monkey; Azorius Control","6; 1; 1; 3; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-02#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-06#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-03#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-18#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-29#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-06#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-15#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-27#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-11#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-28#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-06#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-27#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-04#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-09#gerardo_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-27#gerardo_-"
"10","otakkun",15,60,0.766666666666667,0.639617212894243,0.866162656111152,138,"Pyro Prison; WURG Control; Green Tron; Niv To Light; Gruul Midrange; Asmo Urza; Temur Footfalls; WURG Blink","3; 1; 5; 1; 1; 1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-06#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-09#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-23#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-03#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-08#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-12#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-19#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-09#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-24#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-29#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-13#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-19#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-10#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-26#otakkun_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-08#otakkun_-"
"11","sneakymisato",14,56,0.803571428571429,0.675667014075886,0.897651697398921,135,"Amulet Titan; Grixis Monkey; Temur Footfalls; Elementals; WURG Blink; WURG Control","1; 2; 6; 1; 2; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-06-17#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-16#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-22#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-18#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-19#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-27#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-28#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-02#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-11#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-14#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-21#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-18#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-04#sneakymisato_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-09#sneakymisato_-"
"12","sandydogmtg",13,52,0.826923076923077,0.696719893896867,0.917674314557907,129,"Infect; Burn; Hammer Time; Jund Saga","1; 8; 3; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-14#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-05#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-11#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-05#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-13#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-19#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-31#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-02#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-03#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-01#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-08#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-10-28#sandydogmtg_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-09#sandydogmtg_-"
"13","SourceOdin",13,52,0.807692307692308,0.674658685283769,0.903732428447826,126,"Grinding Breach; Heliod Combo; Trickery Combo; BTL Scapeshift","3; 5; 1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-08#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-22#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-27#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-06#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-09#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-15#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-21#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-23#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-24#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-06#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-08#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-11#sourceodin_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-19#sourceodin_-"
"14","_Stream",14,56,0.75,0.616279809119294,0.856066887835604,126,"Izzet Prowess; Shadow Prowess; Dimir Control; Esper Control; Izzet Murktide; WURG Footfalls; BTL Scapeshift","3; 1; 1; 1; 5; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-16#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-01-27#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-02-19#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-03-31#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-04-29#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-05-19#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-07-22#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-08-25#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-02#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-09-08#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-17#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-11-30#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-10#_stream_-; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-preliminary-2021-12-11#_stream_-"
